base_tx_name,avg,median,stdDev,max,min
app_input,17075.79034941764,17076,5.762751661405961,17093,17060
app_read,11498.549129702415,6753.0,7063.001576282829,22020,6732
dlt_read,3233.939393939394,3234,5.275167824571611,3250,3218
dlt_write,4882.058430717863,4882,5.081107199818245,4898,4868
dltview_read,1316.065042210284,1316.0,4.803746832317351,1333,1299
dms_docDown,3340.737269040108,3341,4.943952224030895,3358,3324
dms_docUpl,3516.583606557377,3517,4.735823037729947,3527,3502
dbms_write,363.9499165275459,364,4.381570077898532,376,352
dbms_read,462.0166389351082,462,4.333942318230389,474,449
