base_tx_name,avg,median,stdDev,max,min
app_input,17075.8073434468,17076,5.654320999661385,17101,17051
app_read,11491.289088227282,6753.0,7059.4492454443625,22030,6725
dlt_read,3815.48005344669,2998,1088.8755526595542,5317.249577596784,2972
dlt_write,5464.43777323428,4647,1088.7453659619648,6968.764869861305,4617
dltview_read,1345.6537321253038,1346.0,4.944154701106511,1371,1322
dms_docDown,3340.769241136781,3341.0,4.846667462570677,3365,3318
dms_docUpl,3516.031064285215,3516.0,4.83277601226665,3537,3495
dbms_write,363.68101297824586,364,4.2346485113316135,385,344
dbms_read,461.90112372019627,462,4.4099587774088125,482,442.8040369935334
