base_tx_name,avg,median,stdDev,max,min
app_input,17075.79132040628,17076.0,5.655534468676829,17094,17059
app_read,11522.57072368421,6753.0,7072.248284254459,22023,6732
dlt_read,3233.687385740402,3234.0,5.210051331746215,3250,3217
dlt_write,4882.078024007387,4882.0,5.264277361598559,4901,4865
dltview_read,1315.9789516020915,1316,4.857897961544812,1335,1299
dms_docDown,3340.6914356384623,3341,4.902136042163329,3359,3322
dms_docUpl,3516.2602611940297,3516.0,4.884892307330461,3530,3501
dbms_write,363.61495844875344,363.0,4.312657954867983,378,350
dbms_read,461.92843951985225,462.0,4.353221213191732,477,445
