base_tx_name,avg,median,stdDev,max,min
app_input,17075.89067974772,17076,5.740429624294678,17097,17057
app_read,11552.604091956968,6753.0,7084.246508780778,22024,6727
dlt_read,2993.6744730679156,2994,5.118408568192582,3009,2975
dlt_write,4641.869656622284,4642,5.1989230641474204,4664,4624
dltview_read,1345.6498297768185,1346,4.9722110981155305,1365,1324
dms_docDown,3340.779195688647,3341,4.816027908529066,3360,3323
dms_docUpl,3516.175675675676,3516.0,4.844085152550579,3533,3499
dbms_write,363.63536556879234,364,4.257478457502115,379,348
dbms_read,461.8993225881803,462,4.400286949954581,479,448
