base_tx_name,avg,median,stdDev,max,min
app_input,17075.907136715392,17076,5.792895135360129,17092,17057
app_read,11505.364758473446,6753.0,7065.453600396779,22024,6727
dlt_read,2993.64381270903,2993.0,5.115931058764295,3009,2975
dlt_write,4641.848329048843,4642,5.200124869991455,4657,4624
dltview_read,1345.670249908122,1346.0,4.957890555238029,1364,1328
dms_docDown,3340.797219251337,3341,4.806788182744861,3360,3323
dms_docUpl,3516.2042253521126,3516.0,4.843277465958995,3528,3501
dbms_write,363.6392459297344,364,4.2283778033307255,377,352
dbms_read,461.85640584694755,462,4.315945276368325,477,450
