base_tx_name,avg,median,stdDev,max,min
app_input,17075.80552015561,17076.0,5.646372253384552,17098,17054
app_read,11494.905810162269,6753.0,7060.930671230361,22027,6725
dlt_read,2993.7870351691213,2994.0,5.080261232775545,3016,2976
dlt_write,4641.865505027614,4642,5.220275334927908,4663,4621
dltview_read,1345.6428823111619,1346,4.945034556236131,1370,1322
dms_docDown,3340.770705511525,3341,4.863649587989871,3361,3319
dms_docUpl,3516.0104076032394,3516.0,4.85438635391846,3536,3498
dbms_write,363.68112000805763,364,4.237859365358296,382,346
dbms_read,461.8892670903268,462,4.401777488270846,480,443
