time,started,ended
8:0:0,148578,148447
9:0:0,248574,248495
10:0:0,318629,318495
11:0:0,297095,297165
12:0:0,418447,418324
13:0:0,248873,249053
14:0:0,246277,246279
15:0:0,312241,312188
16:0:0,285086,285085
17:0:0,270836,270882
18:0:0,169969,170040
19:0:0,334894,334750
20:0:0,237089,237183
21:0:0,171120,171167
22:0:0,2930,3085
