time,started,ended
8:0:0,401,401
9:0:0,674,674
10:0:0,928,927
11:0:0,768,769
12:0:0,1225,1225
13:0:0,630,630
14:0:0,669,667
15:0:0,900,901
16:0:0,888,888
17:0:0,857,858
18:0:0,550,550
19:0:0,1034,1034
20:0:0,624,624
21:0:0,519,519
22:0:0,0,0
