time,started,ended
8:0:0,42070,42033
9:0:0,71712,71688
10:0:0,90746,90723
11:0:0,85467,85481
12:0:0,118923,118882
13:0:0,71608,71659
14:0:0,70630,70631
15:0:0,89598,89570
16:0:0,80645,80646
17:0:0,77132,77157
18:0:0,48618,48623
19:0:0,96482,96446
20:0:0,68261,68293
21:0:0,48087,48082
22:0:0,930,995
