time,started,ended
8:0:0,419124,417604
9:0:0,742962,741829
10:0:0,965218,964618
11:0:0,921866,922051
12:0:0,1331699,1330423
13:0:0,743812,745631
14:0:0,740291,740366
15:0:0,951360,950609
16:0:0,898420,898717
17:0:0,870075,870181
18:0:0,545696,546778
19:0:0,1082433,1080630
20:0:0,762220,763329
21:0:0,546713,547375
22:0:0,6567,8315
