time,started,ended
8:0:0,142317,142067
9:0:0,141300,141300
10:0:0,141345,141345
11:0:0,88027,88180
12:0:0,44345,44392
13:0:0,133929,133833
14:0:0,133252,133228
15:0:0,133788,133817
16:0:0,44846,44942
17:0:0,193,238
18:0:0,0,0
19:0:0,0,0
20:0:0,0,0
21:0:0,0,0
22:0:0,0,0
