time,started,ended
8:0:0,2332,2326
9:0:0,4563,4559
10:0:0,5497,5488
11:0:0,5122,5126
12:0:0,7533,7528
13:0:0,4527,4533
14:0:0,4091,4094
15:0:0,5689,5673
16:0:0,5292,5299
17:0:0,4872,4871
18:0:0,3179,3197
19:0:0,6189,6171
20:0:0,4436,4441
21:0:0,2941,2949
22:0:0,33,41
