time,started,ended
8:0:0,862,860
9:0:0,818,819
10:0:0,828,826
11:0:0,457,460
12:0:0,291,291
13:0:0,765,764
14:0:0,709,709
15:0:0,760,761
16:0:0,230,230
17:0:0,2,2
18:0:0,0,0
19:0:0,0,0
20:0:0,0,0
21:0:0,0,0
22:0:0,0,0
