time,started,ended
8:0:0,54933,54927
9:0:0,55351,55350
10:0:0,55121,55121
11:0:0,29841,29846
12:0:0,17195,17195
13:0:0,50682,50679
14:0:0,51333,51333
15:0:0,51118,51113
16:0:0,17163,17173
17:0:0,55,55
18:0:0,0,0
19:0:0,0,0
20:0:0,0,0
21:0:0,0,0
22:0:0,0,0
