time,started,ended
8:0:0,662,662
9:0:0,1456,1456
10:0:0,1776,1776
11:0:0,1573,1572
12:0:0,2587,2585
13:0:0,1424,1427
14:0:0,1201,1199
15:0:0,1953,1954
16:0:0,1800,1799
17:0:0,1829,1829
18:0:0,1072,1073
19:0:0,2291,2291
20:0:0,1474,1474
21:0:0,1171,1172
22:0:0,0,0
