time,started,ended
8:0:0,271522,271424
9:0:0,495022,494957
10:0:0,646721,646622
11:0:0,623985,624018
12:0:0,913660,913534
13:0:0,494382,494550
14:0:0,493916,493933
15:0:0,639004,638940
16:0:0,613637,613649
17:0:0,599281,599280
18:0:0,375589,375656
19:0:0,747839,747683
20:0:0,524929,525037
21:0:0,375484,375546
22:0:0,3340,3482
