time,started,ended
8:0:0,41137,41097
9:0:0,41587,41583
10:0:0,41436,41437
11:0:0,22417,22438
12:0:0,12846,12859
13:0:0,37990,37953
14:0:0,38477,38470
15:0:0,38330,38325
16:0:0,12917,12949
17:0:0,48,74
18:0:0,0,0
19:0:0,0,0
20:0:0,0,0
21:0:0,0,0
22:0:0,0,0
