time,started,ended
8:0:0,192077,192060
9:0:0,193235,193222
10:0:0,192980,192987
11:0:0,105930,105936
12:0:0,59166,59178
13:0:0,178632,178618
14:0:0,177563,177559
15:0:0,178291,178290
16:0:0,59810,59825
17:0:0,205,214
18:0:0,0,0
19:0:0,0,0
20:0:0,0,0
21:0:0,0,0
22:0:0,0,0
