time,started,ended
8:0:0,421,420
9:0:0,382,383
10:0:0,448,447
11:0:0,224,225
12:0:0,153,153
13:0:0,373,373
14:0:0,370,367
15:0:0,414,417
16:0:0,119,118
17:0:0,0,1
18:0:0,0,0
19:0:0,0,0
20:0:0,0,0
21:0:0,0,0
22:0:0,0,0
