time,started,ended
8:0:0,76962,76931
9:0:0,142410,142386
10:0:0,184214,184191
11:0:0,178891,178907
12:0:0,260291,260253
13:0:0,141675,141720
14:0:0,140099,140092
15:0:0,183002,182996
16:0:0,174373,174374
17:0:0,169896,169890
18:0:0,106744,106784
19:0:0,215334,215281
20:0:0,149803,149839
21:0:0,106208,106222
22:0:0,1031,1067
