time,started,ended
8:0:0,1152,1152
9:0:0,1094,1093
10:0:0,1095,1096
11:0:0,625,625
12:0:0,388,388
13:0:0,1009,1009
14:0:0,933,933
15:0:0,1048,1047
16:0:0,322,323
17:0:0,2,2
18:0:0,0,0
19:0:0,0,0
20:0:0,0,0
21:0:0,0,0
22:0:0,0,0
