base_tx_name,avg,median,stdDev,max,min
app_input,18021.460797799176,17477,5172.320377381025,41798,8381
app_read,12462.01377746041,9012,8328.909978595642,61638,1786
dlt_read,3190.0986666666668,3003,1032.0523104582837,7435,1359
dlt_write,4957.746922024624,4731,1414.099495724755,12221,2197
dltview_read,1400.4842549698,1371,284.6960323098166,3566,674
dms_docDown,3489.4016601012945,3415.0,666.5956170378416,8592,1613
dms_docUpl,3693.43661971831,3616,780.7696682930214,7003,2059
dbms_write,400.1668946648427,370,153.06144186151928,1188,135
dbms_read,498.36451169188445,467,154.43896689767453,1276,205
