base_tx_name,avg,median,stdDev,max,min
app_input,17768.175152749493,17048.5,5063.07372866823,41208,7482
app_read,12498.303359389643,9012,8361.672427743577,79775,1460
dlt_read,3251.607843137255,3044.0,1000.831535972026,7408,1202
dlt_write,4999.335030549898,4807.5,1395.8557639440874,11280,2299
dltview_read,1398.5091438592096,1371.0,282.3721838155169,3302,603
dms_docDown,3492.727771880376,3413,676.3162628005348,8478,1541
dms_docUpl,3670.229299363057,3564,789.6194979642111,7111,2135
dbms_write,399.9877924720244,369,147.20752996127976,1166,127
dbms_read,507.1814475025484,472,168.17057576583605,1629,204
