base_tx_name,avg,median,stdDev,max,min
app_input,18019.321553071284,17240,5134.936941189038,49249,6645
app_read,12494.455513146624,8985.5,8362.969415504034,87062,1327
dlt_read,3199.0784626425325,3030,1014.8373077236312,12706,1093
dlt_write,5011.0189926673875,4819,1417.1431751134164,13319,1669
dltview_read,1399.1656051302448,1372,282.06673913930285,3274,519
dms_docDown,3498.2575212734964,3426,674.8419828224465,13484,1609
dms_docUpl,3696.4548163659792,3612.0,798.4344338259514,8766,1633
dbms_write,398.27467243659095,368,151.2381169829489,1697,117
dbms_read,500.3317706455103,473,155.55105511592689,1728,156
