base_tx_name,avg,median,stdDev,max,min
app_input,17916.86543056485,17214,5050.165644581413,50257,6538
app_read,12477.361529575406,8982,8352.046184602576,81074,1589
dlt_read,3204.6067868098157,3050.0,1003.557480652735,8987,1089
dlt_write,5019.448437350664,4839,1407.9950361370782,13306,1635
dltview_read,1399.0131702287215,1371.0,282.9501841006547,3566,573
dms_docDown,3502.893543229061,3431.0,675.171874566464,10205,1613
dms_docUpl,3705.009338669716,3616,816.9405471137833,10742,1578
dbms_write,398.3695880722546,366,153.70429252159673,2569,128
dbms_read,500.81783427315304,473,157.1120845469826,1758,174
