time,started,ended
8:0:0,2106,2105
9:0:0,2711,2712
10:0:0,2663,2663
11:0:0,2752,2752
12:0:0,1458,1458
13:0:0,851,851
14:0:0,2560,2560
15:0:0,2528,2528
16:0:0,2413,2413
17:0:0,883,883
18:0:0,1,1
19:0:0,0,0
20:0:0,0,0
21:0:0,0,0
22:0:0,0,0
23:0:0,0,0
