time,started,ended
8:0:0,1519,1519
9:0:0,3020,3018
10:0:0,3648,3648
11:0:0,3498,3499
12:0:0,5181,5180
13:0:0,2954,2955
14:0:0,2749,2745
15:0:0,3888,3892
16:0:0,3568,3569
17:0:0,3309,3309
18:0:0,2178,2176
19:0:0,4194,4196
20:0:0,2990,2990
21:0:0,2027,2024
22:0:0,18,21
