time,started,ended
8:0:0,826,825
9:0:0,1549,1547
10:0:0,1836,1838
11:0:0,1637,1638
12:0:0,2363,2360
13:0:0,1551,1554
14:0:0,1329,1327
15:0:0,1844,1845
16:0:0,1749,1749
17:0:0,1567,1565
18:0:0,1002,1003
19:0:0,1994,1993
20:0:0,1443,1446
21:0:0,917,917
22:0:0,12,12
