time,started,ended
8:0:0,1056,1050
9:0:0,10397,10371
10:0:0,18856,18830
11:0:0,24785,24756
12:0:0,24534,24544
13:0:0,35324,35268
14:0:0,19072,19131
15:0:0,19296,19284
16:0:0,25501,25505
17:0:0,24102,24106
18:0:0,23897,23898
19:0:0,15241,15263
20:0:0,29561,29502
21:0:0,21034,21066
22:0:0,14592,14626
23:0:0,134,182
