time,started,ended
8:0:0,6249,6248
9:0:0,6322,6322
10:0:0,6370,6369
11:0:0,3313,3314
12:0:0,1964,1964
13:0:0,5752,5753
14:0:0,5688,5686
15:0:0,5898,5900
16:0:0,1856,1856
17:0:0,3,3
18:0:0,0,0
19:0:0,0,0
20:0:0,0,0
21:0:0,0,0
22:0:0,0,0
