time,started,ended
8:0:0,25367,25266
9:0:0,48189,48117
10:0:0,63221,63174
11:0:0,61792,61796
12:0:0,91683,91603
13:0:0,49359,49473
14:0:0,48505,48513
15:0:0,62608,62565
16:0:0,62026,62011
17:0:0,60236,60265
18:0:0,38569,38634
19:0:0,75930,75809
20:0:0,53279,53364
21:0:0,38748,38766
22:0:0,521,677
