time,started,ended
6:0:0,0,0
7:0:0,0,0
8:0:0,3808,3803
9:0:0,4941,4942
10:0:0,4755,4756
11:0:0,4924,4917
12:0:0,2559,2565
13:0:0,1532,1534
14:0:0,4462,4463
15:0:0,4595,4588
16:0:0,4459,4463
17:0:0,1457,1459
18:0:0,6,8
19:0:0,0,0
20:0:0,0,0
21:0:0,0,0
22:0:0,0,0
