time,started,ended
8:0:0,1582,1582
9:0:0,2045,2041
10:0:0,1983,1982
11:0:0,2082,2084
12:0:0,1106,1107
13:0:0,627,629
14:0:0,1930,1930
15:0:0,1882,1881
16:0:0,1779,1780
17:0:0,662,662
18:0:0,1,1
19:0:0,0,0
20:0:0,0,0
21:0:0,0,0
22:0:0,0,0
23:0:0,0,0
