time,started,ended
8:0:0,523,523
9:0:0,6976,6972
10:0:0,13079,13078
11:0:0,17105,17103
12:0:0,17053,17051
13:0:0,24617,24614
14:0:0,13066,13069
15:0:0,13484,13491
16:0:0,17714,17711
17:0:0,16778,16777
18:0:0,16654,16654
19:0:0,10560,10565
20:0:0,20846,20836
21:0:0,14665,14671
22:0:0,10177,10178
23:0:0,63,67
