time,started,ended
6:0:0,0,0
7:0:0,0,0
8:0:0,1245,1243
9:0:0,17508,17503
10:0:0,33039,33032
11:0:0,43791,43791
12:0:0,44153,44148
13:0:0,65783,65772
14:0:0,33875,33896
15:0:0,33723,33712
16:0:0,44430,44427
17:0:0,43141,43142
18:0:0,42849,42855
19:0:0,27558,27570
20:0:0,53680,53665
21:0:0,38279,38284
22:0:0,27330,27344
