time,started,ended
8:0:0,521,521
9:0:0,3406,3403
10:0:0,5815,5808
11:0:0,7644,7643
12:0:0,7463,7464
13:0:0,10728,10730
14:0:0,5966,5971
15:0:0,5846,5842
16:0:0,7855,7855
17:0:0,7328,7327
18:0:0,7240,7244
19:0:0,4677,4676
20:0:0,8726,8725
21:0:0,6367,6363
22:0:0,4407,4414
23:0:0,64,67
